"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR906946_G1_23F_1999","ERR906947_G3_19A_2007","ERR906949_G5_NT_2010","ERR906950_G5_19A_2010","ERR906951_G5_23B_2010","ERR906952_G5_15A_2010","ERR906953_G5_19A_2010","ERR906954_G5_7C_2010"
"bcrC","","Undecaprenyl-diphosphatase BcrC","8","8","1","11","3249","","","","503","503","503","SPN_01780","c42d22b1a89013949a40735112065cff_1095","1651352c2107c8e99d1e2755be326f79_1714","60840bfe9c73a8f6158b7bc25c0cbd81_945","a0f7cc78741c7df6a041aa1969fd6ff0_1443","c456f1c0372d74d556a5dc3af636a419_1918","731f4f343d163482ebf56e977393a970_1687","ca0cc224996876d0826ad521ee7078ca_1246"
"group_1016","","hypothetical protein","8","8","1","11","3246","","","","299","299","299","SPN_01783","c42d22b1a89013949a40735112065cff_1092","1651352c2107c8e99d1e2755be326f79_2156","60840bfe9c73a8f6158b7bc25c0cbd81_942","a0f7cc78741c7df6a041aa1969fd6ff0_1446","c456f1c0372d74d556a5dc3af636a419_1921","731f4f343d163482ebf56e977393a970_1690","ca0cc224996876d0826ad521ee7078ca_1243"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG","8","8","1","11","3242","","","","761","761","761","SPN_01786","c42d22b1a89013949a40735112065cff_1089","1651352c2107c8e99d1e2755be326f79_2153","60840bfe9c73a8f6158b7bc25c0cbd81_939","a0f7cc78741c7df6a041aa1969fd6ff0_1449","c456f1c0372d74d556a5dc3af636a419_1924","731f4f343d163482ebf56e977393a970_1693","ca0cc224996876d0826ad521ee7078ca_1240"
"ssb_2","","Single-stranded DNA-binding protein","8","8","1","11","3241","","","","377","395","392","SPN_01787","c42d22b1a89013949a40735112065cff_1088","1651352c2107c8e99d1e2755be326f79_2152","60840bfe9c73a8f6158b7bc25c0cbd81_938","a0f7cc78741c7df6a041aa1969fd6ff0_1450","c456f1c0372d74d556a5dc3af636a419_1797","731f4f343d163482ebf56e977393a970_1694","ca0cc224996876d0826ad521ee7078ca_1239"
"groS","","10 kDa chaperonin","8","8","1","11","3240","","","","284","284","284","SPN_01788","c42d22b1a89013949a40735112065cff_1087","1651352c2107c8e99d1e2755be326f79_2151","60840bfe9c73a8f6158b7bc25c0cbd81_937","a0f7cc78741c7df6a041aa1969fd6ff0_1451","c456f1c0372d74d556a5dc3af636a419_1798","731f4f343d163482ebf56e977393a970_1695","ca0cc224996876d0826ad521ee7078ca_1238"
"dnaG","","DNA primase","8","8","1","11","2263","","","","1760","1760","1760","SPN_01813","c42d22b1a89013949a40735112065cff_1797","1651352c2107c8e99d1e2755be326f79_2140","60840bfe9c73a8f6158b7bc25c0cbd81_1875","a0f7cc78741c7df6a041aa1969fd6ff0_1737","c456f1c0372d74d556a5dc3af636a419_909","731f4f343d163482ebf56e977393a970_1926","ca0cc224996876d0826ad521ee7078ca_1940"
"cmpD","","Bicarbonate transport ATP-binding protein CmpD","8","8","1","11","2262","","","","758","758","758","SPN_01814","c42d22b1a89013949a40735112065cff_1798","1651352c2107c8e99d1e2755be326f79_2177","60840bfe9c73a8f6158b7bc25c0cbd81_1876","a0f7cc78741c7df6a041aa1969fd6ff0_1738","c456f1c0372d74d556a5dc3af636a419_910","731f4f343d163482ebf56e977393a970_1927","ca0cc224996876d0826ad521ee7078ca_1939"
"group_1026","","hypothetical protein","8","8","1","11","516","","","","461","854","755","SPN_01841","c42d22b1a89013949a40735112065cff_911","1651352c2107c8e99d1e2755be326f79_1110","60840bfe9c73a8f6158b7bc25c0cbd81_1891","a0f7cc78741c7df6a041aa1969fd6ff0_1766","c456f1c0372d74d556a5dc3af636a419_1657","731f4f343d163482ebf56e977393a970_2003","ca0cc224996876d0826ad521ee7078ca_1690"
"rlmCD_2","","23S rRNA (uracil-C(5))-methyltransferase RlmCD","8","8","1","11","520","","","","1358","1631","1596","SPN_01853","c42d22b1a89013949a40735112065cff_898","1651352c2107c8e99d1e2755be326f79_1113","60840bfe9c73a8f6158b7bc25c0cbd81_1701","a0f7cc78741c7df6a041aa1969fd6ff0_1779","c456f1c0372d74d556a5dc3af636a419_1670","731f4f343d163482ebf56e977393a970_1947","ca0cc224996876d0826ad521ee7078ca_1708"
"group_1030","","hypothetical protein","8","8","1","11","521","","","","974","974","974","SPN_01854","c42d22b1a89013949a40735112065cff_897","1651352c2107c8e99d1e2755be326f79_1114","60840bfe9c73a8f6158b7bc25c0cbd81_1702","a0f7cc78741c7df6a041aa1969fd6ff0_1780","c456f1c0372d74d556a5dc3af636a419_1671","731f4f343d163482ebf56e977393a970_1948","ca0cc224996876d0826ad521ee7078ca_1709"
"glyA","","Serine hydroxymethyltransferase","8","8","1","11","524","","","","1256","1256","1256","SPN_01857","c42d22b1a89013949a40735112065cff_894","1651352c2107c8e99d1e2755be326f79_1117","60840bfe9c73a8f6158b7bc25c0cbd81_1705","a0f7cc78741c7df6a041aa1969fd6ff0_1783","c456f1c0372d74d556a5dc3af636a419_1674","731f4f343d163482ebf56e977393a970_1951","ca0cc224996876d0826ad521ee7078ca_1712"
"tdk","","Thymidine kinase","8","8","1","11","531","","","","590","599","592","SPN_01863","c42d22b1a89013949a40735112065cff_889","1651352c2107c8e99d1e2755be326f79_1122","60840bfe9c73a8f6158b7bc25c0cbd81_1710","a0f7cc78741c7df6a041aa1969fd6ff0_1789","c456f1c0372d74d556a5dc3af636a419_1679","731f4f343d163482ebf56e977393a970_1956","ca0cc224996876d0826ad521ee7078ca_1717"
"mnmE","","tRNA modification GTPase MnmE","8","8","1","11","532","","","","1373","1373","1373","SPN_01865","c42d22b1a89013949a40735112065cff_887","1651352c2107c8e99d1e2755be326f79_1124","60840bfe9c73a8f6158b7bc25c0cbd81_1712","a0f7cc78741c7df6a041aa1969fd6ff0_1790","c456f1c0372d74d556a5dc3af636a419_1681","731f4f343d163482ebf56e977393a970_1958","ca0cc224996876d0826ad521ee7078ca_1719"
"group_1035","","hypothetical protein","8","8","1","11","544","","","","629","629","629","SPN_01874","c42d22b1a89013949a40735112065cff_878","1651352c2107c8e99d1e2755be326f79_1133","60840bfe9c73a8f6158b7bc25c0cbd81_1727","a0f7cc78741c7df6a041aa1969fd6ff0_1799","c456f1c0372d74d556a5dc3af636a419_1690","731f4f343d163482ebf56e977393a970_1967","ca0cc224996876d0826ad521ee7078ca_1730"
"rluD_2","","Ribosomal large subunit pseudouridine synthase D","8","8","1","11","2292","","","","896","896","896","SPN_01890","c42d22b1a89013949a40735112065cff_1767","1651352c2107c8e99d1e2755be326f79_1983","60840bfe9c73a8f6158b7bc25c0cbd81_1675","a0f7cc78741c7df6a041aa1969fd6ff0_1245","c456f1c0372d74d556a5dc3af636a419_882","731f4f343d163482ebf56e977393a970_1899","ca0cc224996876d0826ad521ee7078ca_1839"
"ettA_2","","Energy-dependent translational throttle protein EttA","8","8","1","11","2140","","","","1901","1901","1901","SPN_01903","c42d22b1a89013949a40735112065cff_2036","1651352c2107c8e99d1e2755be326f79_1932","60840bfe9c73a8f6158b7bc25c0cbd81_1661","a0f7cc78741c7df6a041aa1969fd6ff0_2038","c456f1c0372d74d556a5dc3af636a419_868","731f4f343d163482ebf56e977393a970_1615","ca0cc224996876d0826ad521ee7078ca_1850"
"group_1038","","hypothetical protein","8","8","1","11","2139","","","","863","863","863","SPN_01904","c42d22b1a89013949a40735112065cff_2037","1651352c2107c8e99d1e2755be326f79_1931","60840bfe9c73a8f6158b7bc25c0cbd81_1660","a0f7cc78741c7df6a041aa1969fd6ff0_2037","c456f1c0372d74d556a5dc3af636a419_867","731f4f343d163482ebf56e977393a970_1614","ca0cc224996876d0826ad521ee7078ca_1851"
"gapN","","NADP-dependent glyceraldehyde-3-phosphate dehydrogenase","8","8","1","11","2135","","","","1388","1424","1419","SPN_01908","c42d22b1a89013949a40735112065cff_2041","1651352c2107c8e99d1e2755be326f79_1927","60840bfe9c73a8f6158b7bc25c0cbd81_1656","a0f7cc78741c7df6a041aa1969fd6ff0_2033","c456f1c0372d74d556a5dc3af636a419_863","731f4f343d163482ebf56e977393a970_1610","ca0cc224996876d0826ad521ee7078ca_1855"
"glgD","","Glycogen biosynthesis protein GlgD","8","8","1","11","2132","","","","806","1139","1097","SPN_01911","c42d22b1a89013949a40735112065cff_2044","1651352c2107c8e99d1e2755be326f79_1926","60840bfe9c73a8f6158b7bc25c0cbd81_1653","a0f7cc78741c7df6a041aa1969fd6ff0_2030","c456f1c0372d74d556a5dc3af636a419_860","731f4f343d163482ebf56e977393a970_1607","ca0cc224996876d0826ad521ee7078ca_1858"
"rexB","","ATP-dependent helicase/deoxyribonuclease subunit B","8","8","1","11","2123","","","","3275","3275","3275","SPN_01922","c42d22b1a89013949a40735112065cff_654","1651352c2107c8e99d1e2755be326f79_1557","60840bfe9c73a8f6158b7bc25c0cbd81_1754","a0f7cc78741c7df6a041aa1969fd6ff0_2024","c456f1c0372d74d556a5dc3af636a419_851","731f4f343d163482ebf56e977393a970_1600","ca0cc224996876d0826ad521ee7078ca_1765"
"addA","","ATP-dependent helicase/nuclease subunit A","8","8","1","11","2122","","","","3650","3650","3650","SPN_01923","c42d22b1a89013949a40735112065cff_653","1651352c2107c8e99d1e2755be326f79_1556","60840bfe9c73a8f6158b7bc25c0cbd81_1753","a0f7cc78741c7df6a041aa1969fd6ff0_2023","c456f1c0372d74d556a5dc3af636a419_850","731f4f343d163482ebf56e977393a970_1599","ca0cc224996876d0826ad521ee7078ca_1764"
"group_1043","","hypothetical protein","8","8","1","11","1868","","","","1178","1178","1178","SPN_01924","c42d22b1a89013949a40735112065cff_652","1651352c2107c8e99d1e2755be326f79_1555","60840bfe9c73a8f6158b7bc25c0cbd81_1752","a0f7cc78741c7df6a041aa1969fd6ff0_2022","c456f1c0372d74d556a5dc3af636a419_849","731f4f343d163482ebf56e977393a970_1598","ca0cc224996876d0826ad521ee7078ca_1763"
"lplJ","","Lipoate-protein ligase LplJ","8","8","1","11","1880","","","","353","989","909","SPN_01930","c42d22b1a89013949a40735112065cff_646","1651352c2107c8e99d1e2755be326f79_1546","60840bfe9c73a8f6158b7bc25c0cbd81_1746","a0f7cc78741c7df6a041aa1969fd6ff0_2016","c456f1c0372d74d556a5dc3af636a419_843","731f4f343d163482ebf56e977393a970_1591","ca0cc224996876d0826ad521ee7078ca_1756"
"bfmBAB","","2-oxoisovalerate dehydrogenase subunit beta","8","8","1","11","1883","","","","410","992","919","SPN_01933","c42d22b1a89013949a40735112065cff_643","1651352c2107c8e99d1e2755be326f79_1543","60840bfe9c73a8f6158b7bc25c0cbd81_1743","a0f7cc78741c7df6a041aa1969fd6ff0_2013","c456f1c0372d74d556a5dc3af636a419_840","731f4f343d163482ebf56e977393a970_1588","ca0cc224996876d0826ad521ee7078ca_1753"
"pyrC","","Dihydroorotase","8","8","1","11","1888","","","","1268","1268","1268","SPN_01937","c42d22b1a89013949a40735112065cff_639","1651352c2107c8e99d1e2755be326f79_1538","60840bfe9c73a8f6158b7bc25c0cbd81_1739","a0f7cc78741c7df6a041aa1969fd6ff0_2009","c456f1c0372d74d556a5dc3af636a419_836","731f4f343d163482ebf56e977393a970_1584","ca0cc224996876d0826ad521ee7078ca_1749"
"ung","","Uracil-DNA glycosylase","8","8","1","11","1890","","","","653","653","653","SPN_01939","c42d22b1a89013949a40735112065cff_637","1651352c2107c8e99d1e2755be326f79_1536","60840bfe9c73a8f6158b7bc25c0cbd81_1737","a0f7cc78741c7df6a041aa1969fd6ff0_2007","c456f1c0372d74d556a5dc3af636a419_834","731f4f343d163482ebf56e977393a970_1582","ca0cc224996876d0826ad521ee7078ca_1747"
"yfnB","","Putative HAD-hydrolase YfnB","8","8","1","11","1892","","","","713","713","713","SPN_01941","c42d22b1a89013949a40735112065cff_635","1651352c2107c8e99d1e2755be326f79_1534","60840bfe9c73a8f6158b7bc25c0cbd81_1735","a0f7cc78741c7df6a041aa1969fd6ff0_2005","c456f1c0372d74d556a5dc3af636a419_832","731f4f343d163482ebf56e977393a970_1580","ca0cc224996876d0826ad521ee7078ca_1745"
"artQ","","Arginine transport system permease protein ArtQ","8","8","1","11","2116","","","","683","746","690","SPN_01947","c42d22b1a89013949a40735112065cff_1030","1651352c2107c8e99d1e2755be326f79_1920","60840bfe9c73a8f6158b7bc25c0cbd81_1902","a0f7cc78741c7df6a041aa1969fd6ff0_1277","c456f1c0372d74d556a5dc3af636a419_1040","731f4f343d163482ebf56e977393a970_465","ca0cc224996876d0826ad521ee7078ca_1973"
"folD","","Bifunctional protein FolD protein","8","8","1","11","2114","","","","857","920","864","SPN_01949","c42d22b1a89013949a40735112065cff_1032","1651352c2107c8e99d1e2755be326f79_1918","60840bfe9c73a8f6158b7bc25c0cbd81_1904","a0f7cc78741c7df6a041aa1969fd6ff0_1275","c456f1c0372d74d556a5dc3af636a419_1042","731f4f343d163482ebf56e977393a970_463","ca0cc224996876d0826ad521ee7078ca_1975"
"nnrD","","ADP-dependent (S)-NAD(P)H-hydrate dehydratase","8","8","1","11","2113","","","","872","872","872","SPN_01950","c42d22b1a89013949a40735112065cff_1033","1651352c2107c8e99d1e2755be326f79_1917","60840bfe9c73a8f6158b7bc25c0cbd81_1905","a0f7cc78741c7df6a041aa1969fd6ff0_1274","c456f1c0372d74d556a5dc3af636a419_1043","731f4f343d163482ebf56e977393a970_461","ca0cc224996876d0826ad521ee7078ca_1977"
"group_1052","","hypothetical protein","8","8","1","11","2101","","","","524","524","524","SPN_01959","c42d22b1a89013949a40735112065cff_1043","1651352c2107c8e99d1e2755be326f79_1908","60840bfe9c73a8f6158b7bc25c0cbd81_1914","a0f7cc78741c7df6a041aa1969fd6ff0_1265","c456f1c0372d74d556a5dc3af636a419_1051","731f4f343d163482ebf56e977393a970_454","ca0cc224996876d0826ad521ee7078ca_1986"
"deoC","","Deoxyribose-phosphate aldolase","8","8","1","11","2095","","","","662","662","662","SPN_01965","c42d22b1a89013949a40735112065cff_1049","1651352c2107c8e99d1e2755be326f79_1902","60840bfe9c73a8f6158b7bc25c0cbd81_1920","a0f7cc78741c7df6a041aa1969fd6ff0_1259","c456f1c0372d74d556a5dc3af636a419_1057","731f4f343d163482ebf56e977393a970_448","ca0cc224996876d0826ad521ee7078ca_1992"
"cdd","","Cytidine deaminase","8","8","1","11","2094","","","","389","389","389","SPN_01966","c42d22b1a89013949a40735112065cff_1050","1651352c2107c8e99d1e2755be326f79_1901","60840bfe9c73a8f6158b7bc25c0cbd81_1921","a0f7cc78741c7df6a041aa1969fd6ff0_1258","c456f1c0372d74d556a5dc3af636a419_1058","731f4f343d163482ebf56e977393a970_447","ca0cc224996876d0826ad521ee7078ca_1993"
"group_1055","","hypothetical protein","8","8","1","11","2090","","","","956","956","956","SPN_01970","c42d22b1a89013949a40735112065cff_1054","1651352c2107c8e99d1e2755be326f79_1897","60840bfe9c73a8f6158b7bc25c0cbd81_1925","a0f7cc78741c7df6a041aa1969fd6ff0_1254","c456f1c0372d74d556a5dc3af636a419_1062","731f4f343d163482ebf56e977393a970_443","ca0cc224996876d0826ad521ee7078ca_1997"
"plsY","","Glycerol-3-phosphate acyltransferase","8","8","1","11","2354","","","","641","641","641","SPN_01977","c42d22b1a89013949a40735112065cff_1058","1651352c2107c8e99d1e2755be326f79_2104","60840bfe9c73a8f6158b7bc25c0cbd81_1302","a0f7cc78741c7df6a041aa1969fd6ff0_13","c456f1c0372d74d556a5dc3af636a419_1063","731f4f343d163482ebf56e977393a970_440","ca0cc224996876d0826ad521ee7078ca_652"
"ilvE","","Branched-chain-amino-acid aminotransferase","8","8","1","11","2348","","","","1022","1022","1022","SPN_01981","c42d22b1a89013949a40735112065cff_1062","1651352c2107c8e99d1e2755be326f79_2100","60840bfe9c73a8f6158b7bc25c0cbd81_1306","a0f7cc78741c7df6a041aa1969fd6ff0_9","c456f1c0372d74d556a5dc3af636a419_1067","731f4f343d163482ebf56e977393a970_436","ca0cc224996876d0826ad521ee7078ca_648"
"group_1058","","hypothetical protein","8","8","1","11","602","","","","320","320","320","SPN_01997","c42d22b1a89013949a40735112065cff_997","1651352c2107c8e99d1e2755be326f79_319","60840bfe9c73a8f6158b7bc25c0cbd81_1759","a0f7cc78741c7df6a041aa1969fd6ff0_1622","c456f1c0372d74d556a5dc3af636a419_2045","731f4f343d163482ebf56e977393a970_1827","ca0cc224996876d0826ad521ee7078ca_872"
"group_1059","","hypothetical protein","8","8","1","11","589","","","","530","548","532","SPN_02009","c42d22b1a89013949a40735112065cff_984","1651352c2107c8e99d1e2755be326f79_331","60840bfe9c73a8f6158b7bc25c0cbd81_1596","a0f7cc78741c7df6a041aa1969fd6ff0_1634","c456f1c0372d74d556a5dc3af636a419_2033","731f4f343d163482ebf56e977393a970_1814","ca0cc224996876d0826ad521ee7078ca_884"
"group_1061","","hypothetical protein","8","8","1","11","614","","","","815","815","815","SPN_02036","c42d22b1a89013949a40735112065cff_1006","1651352c2107c8e99d1e2755be326f79_310","60840bfe9c73a8f6158b7bc25c0cbd81_1769","a0f7cc78741c7df6a041aa1969fd6ff0_1612","c456f1c0372d74d556a5dc3af636a419_1016","731f4f343d163482ebf56e977393a970_1841","ca0cc224996876d0826ad521ee7078ca_863"
"cdhR","","HTH-type transcriptional regulator CdhR","8","8","1","11","1736","","","","542","860","820","SPN_02049","c42d22b1a89013949a40735112065cff_1825","1651352c2107c8e99d1e2755be326f79_1821","60840bfe9c73a8f6158b7bc25c0cbd81_1978","a0f7cc78741c7df6a041aa1969fd6ff0_812","c456f1c0372d74d556a5dc3af636a419_11","731f4f343d163482ebf56e977393a970_1274","ca0cc224996876d0826ad521ee7078ca_381"
"ptsG_2","","PTS system glucose-specific EIICBA component","8","8","1","11","581","","","","2180","2180","2180","SPN_02062","c42d22b1a89013949a40735112065cff_977","1651352c2107c8e99d1e2755be326f79_338","60840bfe9c73a8f6158b7bc25c0cbd81_1603","a0f7cc78741c7df6a041aa1969fd6ff0_2067","c456f1c0372d74d556a5dc3af636a419_2026","731f4f343d163482ebf56e977393a970_1807","ca0cc224996876d0826ad521ee7078ca_891"
"rlmCD_1","","23S rRNA (uracil-C(5))-methyltransferase RlmCD","8","8","1","11","3228","","","","1103","1379","1329","SPN_01797","c42d22b1a89013949a40735112065cff_1078","1651352c2107c8e99d1e2755be326f79_2163","60840bfe9c73a8f6158b7bc25c0cbd81_929","a0f7cc78741c7df6a041aa1969fd6ff0_1460","c456f1c0372d74d556a5dc3af636a419_1805","731f4f343d163482ebf56e977393a970_2091","ca0cc224996876d0826ad521ee7078ca_1231"
"pulA","","Pullulanase","8","8","1","11","748","","","","3770","3842","3806","SPN_01135","c42d22b1a89013949a40735112065cff_107","1651352c2107c8e99d1e2755be326f79_102","60840bfe9c73a8f6158b7bc25c0cbd81_215","a0f7cc78741c7df6a041aa1969fd6ff0_164","c456f1c0372d74d556a5dc3af636a419_1718","731f4f343d163482ebf56e977393a970_1423","ca0cc224996876d0826ad521ee7078ca_164"
"pheT_2","","Phenylalanine--tRNA ligase beta subunit","8","8","1","11","3243","","","","626","629","626","SPN_01785","c42d22b1a89013949a40735112065cff_1090","1651352c2107c8e99d1e2755be326f79_2154","60840bfe9c73a8f6158b7bc25c0cbd81_940","a0f7cc78741c7df6a041aa1969fd6ff0_1448","c456f1c0372d74d556a5dc3af636a419_1923","731f4f343d163482ebf56e977393a970_1692","ca0cc224996876d0826ad521ee7078ca_1241"
"bmrA","","Multidrug resistance ABC transporter ATP-binding/permease protein BmrA","8","9","1.13","11","2205","","","","233","545","351","SPN_00414","c42d22b1a89013949a40735112065cff_1469","1651352c2107c8e99d1e2755be326f79_2048","60840bfe9c73a8f6158b7bc25c0cbd81_1143","a0f7cc78741c7df6a041aa1969fd6ff0_544	a0f7cc78741c7df6a041aa1969fd6ff0_543","c456f1c0372d74d556a5dc3af636a419_1520","731f4f343d163482ebf56e977393a970_230","ca0cc224996876d0826ad521ee7078ca_830"
"capA","","Capsule biosynthesis protein CapA","8","8","1","11","2397","","","","503","716","587","SPN_00482","c42d22b1a89013949a40735112065cff_1993","1651352c2107c8e99d1e2755be326f79_265","60840bfe9c73a8f6158b7bc25c0cbd81_1818","a0f7cc78741c7df6a041aa1969fd6ff0_612","c456f1c0372d74d556a5dc3af636a419_1558","731f4f343d163482ebf56e977393a970_907","ca0cc224996876d0826ad521ee7078ca_1510"
"pcp_2","","Pyrrolidone-carboxylate peptidase","8","8","1","11","236","","","","212","644","394","SPN_01518","c42d22b1a89013949a40735112065cff_1585","1651352c2107c8e99d1e2755be326f79_1294","60840bfe9c73a8f6158b7bc25c0cbd81_653","a0f7cc78741c7df6a041aa1969fd6ff0_1842","c456f1c0372d74d556a5dc3af636a419_1602","731f4f343d163482ebf56e977393a970_1765","ca0cc224996876d0826ad521ee7078ca_1633"
"group_170","","hypothetical protein","8","8","1","11","1625","","","","257","353","305","SPN_00014","c42d22b1a89013949a40735112065cff_318","1651352c2107c8e99d1e2755be326f79_1233","60840bfe9c73a8f6158b7bc25c0cbd81_1520","a0f7cc78741c7df6a041aa1969fd6ff0_1474","c456f1c0372d74d556a5dc3af636a419_419","731f4f343d163482ebf56e977393a970_840","ca0cc224996876d0826ad521ee7078ca_2007"
"bbmA","","Intracellular maltogenic amylase","8","8","1","11","514","","","","704","1739","1163","SPN_01839","c42d22b1a89013949a40735112065cff_913","1651352c2107c8e99d1e2755be326f79_1108","60840bfe9c73a8f6158b7bc25c0cbd81_1889","a0f7cc78741c7df6a041aa1969fd6ff0_1764","c456f1c0372d74d556a5dc3af636a419_1655","731f4f343d163482ebf56e977393a970_2001","ca0cc224996876d0826ad521ee7078ca_1688"
"trpF","","N-(5'-phosphoribosyl)anthranilate isomerase","8","8","1","11","1821","","","","599","599","599","SPN_00157","c42d22b1a89013949a40735112065cff_1265","1651352c2107c8e99d1e2755be326f79_1358","60840bfe9c73a8f6158b7bc25c0cbd81_547","a0f7cc78741c7df6a041aa1969fd6ff0_892","c456f1c0372d74d556a5dc3af636a419_92","731f4f343d163482ebf56e977393a970_1194","ca0cc224996876d0826ad521ee7078ca_458"
"group_207","","hypothetical protein","8","8","1","11","2374","","","","326","761","660","SPN_00459","c42d22b1a89013949a40735112065cff_2016","1651352c2107c8e99d1e2755be326f79_286","60840bfe9c73a8f6158b7bc25c0cbd81_1797","a0f7cc78741c7df6a041aa1969fd6ff0_589","c456f1c0372d74d556a5dc3af636a419_1537","731f4f343d163482ebf56e977393a970_886","ca0cc224996876d0826ad521ee7078ca_1533"
